date,business,query,source_checked,result,next_action,notes
2026-06-16,The Mill Gallery,"""The Mill Gallery"" ""Yeppoon"" Facebook Instagram website",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,Try Google Business Profile or direct Facebook/Instagram search manually before promotion.,Search pass did not find a business-owned social profile; source confirms gallery details only.
2026-06-16,The Gallery - Emu Park,"""The Gallery - Emu Park"" ""Emu Park"" Facebook Instagram website",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,Try Google Business Profile or direct Facebook/Instagram search manually before promotion.,Search pass did not find a business-owned social profile; source confirms gallery details only.
2026-06-16,Fantastic Landscaping,"""Fantastic Landscaping"" ""Emu Park"" Facebook Instagram website",https://www.emuparkonline.com.au/0-shops/,no_verified_social_found,Try Google Business Profile or direct Facebook/Instagram search manually before promotion.,Search pass did not find a business-owned social profile; source confirms directory listing only.
2026-06-16,Scrub-Brite Cleaning Services,"""Scrub-Brite Cleaning Services"" ""Emu Park"" Facebook Instagram website",https://www.emuparkonline.com.au/0-shops/,no_verified_social_found,Try Google Business Profile or direct Facebook/Instagram search manually before promotion.,Search pass did not find a business-owned social profile; source confirms directory listing only.
2026-06-16,Termi Home & Commercial CQ,"""Termi Home & Commercial CQ"" ""Emu Park / Capricorn Coast"" Facebook Instagram website",https://www.emuparkonline.com.au/0-shops/,no_verified_social_found,Try Google Business Profile or direct Facebook/Instagram search manually before promotion.,Search pass did not find a business-owned social profile; source confirms directory listing only.
2026-06-16,Beachwood Mini Digger,"""Beachwood Mini Digger"" ""Emu Park"" Facebook Instagram website",https://www.emuparkonline.com.au/0-shops/,no_verified_social_found,Try Google Business Profile or direct Facebook/Instagram search manually before promotion.,Search pass did not find a business-owned social profile; source confirms directory listing only.
2026-06-16,Emu Park Pizza,"""Emu Park Pizza"" ""Emu Park"" Facebook Instagram website",https://www.emuparkonline.com.au/0-shops/,no_verified_social_found,Try Google Business Profile or direct Facebook/Instagram search manually before promotion.,Search pass did not find a business-owned social profile; source confirms directory listing only.
2026-06-16,Regional broad search,Kawana Rockhampton businesses Facebook; Yeppoon local businesses Facebook Instagram no website; Emu Park local businesses Facebook Instagram; Capricorn Coast business directory Facebook,"https://en.wikipedia.org/wiki/Kawana,_Queensland_(Rockhampton); https://en.wikipedia.org/wiki/Yeppoon; https://en.wikipedia.org/wiki/Emu_Park,_Queensland; https://en.wikipedia.org/wiki/Capricorn_Coast",no_verified_business_candidate_found,Use targeted business-name searches and direct local directories next.,Broad search returned locality/background pages rather than verified business-owned social profiles; no intake rows added.
2026-06-16,Regional broad search,Kawana Rockhampton businesses Facebook Instagram website,"https://en.wikipedia.org/wiki/Kawana,_Queensland_(Rockhampton)",no_verified_business_candidate_found,Use targeted business-name searches and direct local directories next,Command smoke test against an already reviewed locality source; no candidate added.
2026-06-16,Capricorn Coast art gallery workshops market lane,Capricorn Coast art gallery workshops market Facebook Instagram website,https://en.wikipedia.org/wiki/Capricorn_Coast,no_verified_business_candidate_found,Try direct local directory pages and named business searches before adding intake evidence,Public web search returned locality and background pages rather than verified business-owned social profiles; no intake row added.
2026-06-16,Capricorn Coast cafe restaurant bar catering lane,Capricorn Coast cafe restaurant bar catering Facebook Instagram website,https://en.wikipedia.org/wiki/Capricorn_Coast,no_verified_business_candidate_found,Try direct local directory pages and named venue searches with verifiable public social links,Generic public search returned locality/background results; named-domain checks for likely venues did not produce reliable public evidence in this environment. No intake row added.
2026-06-16,Capricorn Coast landscaping excavation mini digger lane,Capricorn Coast landscaping excavation mini digger Facebook Instagram website; Beachwood Mini Digger Facebook,https://en.wikipedia.org/wiki/Capricorn_Coast,no_verified_social_found,"Try local trade directories, ABN/business listings, and named service searches before staging any new evidence",Public web search did not return a verified business-owned social profile for the lane or Beachwood Mini Digger. No intake row added.
